ICAO_ID ,Name,Size,Latitude,Longitude,municipality,local_region,ID_ST,City,State
KOKB,Oceanside Municipal Airport,small_airport,33.217947,-117.351683,Oceanside,CA,639,Oceanside,CA
KRNM,Ramona Airport,small_airport,33.0392,-116.915001,Ramona,CA,640,Ramona,CA
US-3168,Vultee Field,closed,33.92135,-118.12804,Downey,CA,572,Downey,CA
KOXR,Oxnard Airport,medium_airport,34.200801849365,-119.20700073242,Oxnard,CA,660,Oxnard,CA
KSBA,Santa Barbara Municipal Airport,medium_airport,34.42620087,-119.8399963,Santa Barbara,CA,655,Santa Barbara,CA
KPSP,Palm Springs International Airport,medium_airport,33.8297,-116.507004,Palm Springs,CA,765,Palm Springs,CA
KTRM,Jacqueline Cochran Regional Airport,medium_airport,33.62670135498,-116.16000366211,Palm Springs,CA,765,Palm Springs,CA
KCMA,Camarillo International Airport,large_airport,34.213699,-119.094002,Camarillo,CA,759,Camarillo,CA
1CA5,California Title Building Heliport,heliport,34.1239013671875,-118.1510009765625,South Pasadena,CA,661,South Pasadena,CA
KDAG,Barstow Daggett Airport,medium_airport,34.85369873,-116.7870026,Daggett,CA,817,Daggett,CA
KIPL,Imperial County Airport,medium_airport,32.834201812699995,-115.57900238,Imperial,CA,7584,Imperial,CA
US-1127,Simi Valley Hospital Heliport,heliport,34.289189,-118.746008,Simi Valley,CA,672,Simi Valley,CA
53CA,Hummingbird Nest Heliport,heliport,34.28189849853516,-118.65499877929688,Simi Valley,CA,672,Simi Valley,CA
US-3060,Santa Susana Airport,closed,34.27,-118.7059,Simi Valley,CA,672,Simi Valley,CA
CL34,First Interstate Bank Heliport,closed,34.2686,-118.718002,Simi Valley,CA,672,Simi Valley,CA
1CA0,Boeing Santa Susana Heliport,heliport,34.237577,-118.696561,Simi Valley,CA,672,Simi Valley,CA
US-6798,Edmund D Edelman Children's Courthouse Heliport,heliport,34.05802,-118.1667,Monterey Park,CA,675,Monterey Park,CA
US-3611,Ardis Airport,closed,33.90183,-118.13379,Bellflower,CA,713,Bellflower,CA
KVCV,Southern California Logistics Airport,small_airport,34.597499847399995,-117.383003235,Victorville,CA,813,Victorville,CA
3CL4,Pasadena Police Benedict Heliport,heliport,34.183561,-118.171134,Altadena,CA,689,Altadena,CA
US-2412,Calimesa Airport,closed,33.974328,-117.052496,Calimesa,CA,690,Calimesa,CA
US-7002,Naylor Place Heliport,heliport,34.58915,-118.70306,Castaic,CA,693,Castaic,CA
US-3370,Indian Dunes Airport,closed,34.424,-118.638,Castaic,CA,693,Castaic,CA
CL63,Castaic Dam Heliport,heliport,34.5172004699707,-118.5989990234375,Castaic,CA,693,Castaic,CA
US-7011,Los Angeles County Fire Department Del Valle Regional Training Center Heliport 143A,heliport,34.43106,-118.66599,Castaic,CA,693,Castaic,CA
KSMX,Santa Maria Public Airport Captain G Allan Hancock Field,medium_airport,34.898899,-120.457001,Santa Maria,CA,738,Santa Maria,CA
